cid,provider,type,status,commit_rate,description,tags
EMEA-DC-CLOUD-DIA-PRI,GTT Communications,Internet DIA,active,10000000,Primary Internet 10G for EMEA-DC-CLOUD,"datacenter,internet-dia"
EMEA-DC-CLOUD-DIA-SEC,Zayo Group,Internet DIA,active,10000000,Secondary Internet 10G for EMEA-DC-CLOUD,"datacenter,internet-dia"
EMEA-DC-CLOUD-MPLS-01,GTT Communications,MPLS,active,5000000,MPLS WAN Primary for EMEA-DC-CLOUD,"datacenter,mpls"
EMEA-DC-CLOUD-MPLS-02,Zayo Group,MPLS,active,5000000,MPLS WAN Secondary for EMEA-DC-CLOUD,"datacenter,mpls"
EMEA-DC-CLOUD-DF-INTERDC,Telia Carrier,Dark Fiber,active,100000000,Inter-DC Dark Fiber 100G for EMEA-DC-CLOUD,"datacenter,dark-fiber"
EMEA-DC-CLOUD-AWS-DX,Telia Carrier,Cloud Connect,active,10000000,AWS Direct Connect 10G for EMEA-DC-CLOUD,"datacenter,cloud-connect"
EMEA-DC-CLOUD-AZURE-ER,Telia Carrier,Cloud Connect,active,10000000,Azure ExpressRoute 10G for EMEA-DC-CLOUD,"datacenter,cloud-connect"
EMEA-DC-ONPREM-DIA-PRI,GTT Communications,Internet DIA,active,10000000,Primary Internet 10G for EMEA-DC-ONPREM,"datacenter,internet-dia"
EMEA-DC-ONPREM-DIA-SEC,Zayo Group,Internet DIA,active,10000000,Secondary Internet 10G for EMEA-DC-ONPREM,"datacenter,internet-dia"
EMEA-DC-ONPREM-MPLS-01,GTT Communications,MPLS,active,5000000,MPLS WAN Primary for EMEA-DC-ONPREM,"datacenter,mpls"
EMEA-DC-ONPREM-MPLS-02,Zayo Group,MPLS,active,5000000,MPLS WAN Secondary for EMEA-DC-ONPREM,"datacenter,mpls"
EMEA-DC-ONPREM-DF-INTERDC,Telia Carrier,Dark Fiber,active,100000000,Inter-DC Dark Fiber 100G for EMEA-DC-ONPREM,"datacenter,dark-fiber"
EMEA-DC-ONPREM-AWS-DX,Telia Carrier,Cloud Connect,active,10000000,AWS Direct Connect 10G for EMEA-DC-ONPREM,"datacenter,cloud-connect"
EMEA-DC-ONPREM-AZURE-ER,Telia Carrier,Cloud Connect,active,10000000,Azure ExpressRoute 10G for EMEA-DC-ONPREM,"datacenter,cloud-connect"
APAC-DC-CLOUD-DIA-PRI,Telstra Global,Internet DIA,active,10000000,Primary Internet 10G for APAC-DC-CLOUD,"datacenter,internet-dia"
APAC-DC-CLOUD-DIA-SEC,Singtel,Internet DIA,active,10000000,Secondary Internet 10G for APAC-DC-CLOUD,"datacenter,internet-dia"
APAC-DC-CLOUD-MPLS-01,Telstra Global,MPLS,active,5000000,MPLS WAN Primary for APAC-DC-CLOUD,"datacenter,mpls"
APAC-DC-CLOUD-MPLS-02,Singtel,MPLS,active,5000000,MPLS WAN Secondary for APAC-DC-CLOUD,"datacenter,mpls"
APAC-DC-CLOUD-DF-INTERDC,China Telecom Global,Dark Fiber,active,100000000,Inter-DC Dark Fiber 100G for APAC-DC-CLOUD,"datacenter,dark-fiber"
APAC-DC-CLOUD-AWS-DX,China Telecom Global,Cloud Connect,active,10000000,AWS Direct Connect 10G for APAC-DC-CLOUD,"datacenter,cloud-connect"
APAC-DC-CLOUD-AZURE-ER,China Telecom Global,Cloud Connect,active,10000000,Azure ExpressRoute 10G for APAC-DC-CLOUD,"datacenter,cloud-connect"
APAC-DC-ONPREM-DIA-PRI,Telstra Global,Internet DIA,active,10000000,Primary Internet 10G for APAC-DC-ONPREM,"datacenter,internet-dia"
APAC-DC-ONPREM-DIA-SEC,Singtel,Internet DIA,active,10000000,Secondary Internet 10G for APAC-DC-ONPREM,"datacenter,internet-dia"
APAC-DC-ONPREM-MPLS-01,Telstra Global,MPLS,active,5000000,MPLS WAN Primary for APAC-DC-ONPREM,"datacenter,mpls"
APAC-DC-ONPREM-MPLS-02,Singtel,MPLS,active,5000000,MPLS WAN Secondary for APAC-DC-ONPREM,"datacenter,mpls"
APAC-DC-ONPREM-DF-INTERDC,China Telecom Global,Dark Fiber,active,100000000,Inter-DC Dark Fiber 100G for APAC-DC-ONPREM,"datacenter,dark-fiber"
APAC-DC-ONPREM-AWS-DX,China Telecom Global,Cloud Connect,active,10000000,AWS Direct Connect 10G for APAC-DC-ONPREM,"datacenter,cloud-connect"
APAC-DC-ONPREM-AZURE-ER,China Telecom Global,Cloud Connect,active,10000000,Azure ExpressRoute 10G for APAC-DC-ONPREM,"datacenter,cloud-connect"
AMER-DC-CLOUD-DIA-PRI,Zayo Group,Internet DIA,active,10000000,Primary Internet 10G for AMER-DC-CLOUD,"datacenter,internet-dia"
AMER-DC-CLOUD-DIA-SEC,GTT Communications,Internet DIA,active,10000000,Secondary Internet 10G for AMER-DC-CLOUD,"datacenter,internet-dia"
AMER-DC-CLOUD-MPLS-01,Zayo Group,MPLS,active,5000000,MPLS WAN Primary for AMER-DC-CLOUD,"datacenter,mpls"
AMER-DC-CLOUD-MPLS-02,GTT Communications,MPLS,active,5000000,MPLS WAN Secondary for AMER-DC-CLOUD,"datacenter,mpls"
AMER-DC-CLOUD-DF-INTERDC,Crown Castle Fiber,Dark Fiber,active,100000000,Inter-DC Dark Fiber 100G for AMER-DC-CLOUD,"datacenter,dark-fiber"
AMER-DC-CLOUD-AWS-DX,Crown Castle Fiber,Cloud Connect,active,10000000,AWS Direct Connect 10G for AMER-DC-CLOUD,"datacenter,cloud-connect"
AMER-DC-CLOUD-AZURE-ER,Crown Castle Fiber,Cloud Connect,active,10000000,Azure ExpressRoute 10G for AMER-DC-CLOUD,"datacenter,cloud-connect"
AMER-DC-ONPREM-DIA-PRI,Zayo Group,Internet DIA,active,10000000,Primary Internet 10G for AMER-DC-ONPREM,"datacenter,internet-dia"
AMER-DC-ONPREM-DIA-SEC,GTT Communications,Internet DIA,active,10000000,Secondary Internet 10G for AMER-DC-ONPREM,"datacenter,internet-dia"
AMER-DC-ONPREM-MPLS-01,Zayo Group,MPLS,active,5000000,MPLS WAN Primary for AMER-DC-ONPREM,"datacenter,mpls"
AMER-DC-ONPREM-MPLS-02,GTT Communications,MPLS,active,5000000,MPLS WAN Secondary for AMER-DC-ONPREM,"datacenter,mpls"
AMER-DC-ONPREM-DF-INTERDC,Crown Castle Fiber,Dark Fiber,active,100000000,Inter-DC Dark Fiber 100G for AMER-DC-ONPREM,"datacenter,dark-fiber"
AMER-DC-ONPREM-AWS-DX,Crown Castle Fiber,Cloud Connect,active,10000000,AWS Direct Connect 10G for AMER-DC-ONPREM,"datacenter,cloud-connect"
AMER-DC-ONPREM-AZURE-ER,Crown Castle Fiber,Cloud Connect,active,10000000,Azure ExpressRoute 10G for AMER-DC-ONPREM,"datacenter,cloud-connect"
